day,Hole ID,Depth (m),Neutron Count (MD),Theta
2016-06-25,503,6.91,4165,0.26998
2016-06-25,503,7.21,4060,0.26242
2016-06-25,505,0.21,3721,0.163208
2016-06-25,505,0.51,4527,0.201896
2016-06-25,505,0.82,4100,0.1814
2016-06-25,505,1.12,4785,0.21429599999999996
2016-06-25,505,1.43,4858,0.217784
2016-06-25,505,1.73,4683,0.20938400000000001
2016-06-25,505,2.04,4509,0.201032
2016-06-25,505,2.34,4900,0.2198
2016-06-25,505,2.65,4605,0.20564000000000002
2016-06-25,505,2.95,4798,0.21490399999999998
2016-06-25,505,3.26,5069,0.22791199999999998
2016-06-25,505,3.56,4782,0.21413600000000002
2016-06-25,505,3.87,5005,0.22484
2016-06-25,505,4.17,5390,0.24331999999999998
2016-06-25,505,4.48,5148,0.231704
2016-06-25,505,4.78,5707,0.258536
2016-06-25,505,5.09,5214,0.23487199999999997
2016-06-25,505,5.39,5427,0.245096
2016-06-25,505,5.7,5083,0.228584
2016-06-25,506,0.2,3864,0.248308
2016-06-25,506,0.51,4812,0.316564
2016-06-25,506,0.81,4682,0.307204
2016-06-25,506,1.12,4929,0.324988
2016-06-25,506,1.42,5526,0.36797199999999997
2016-06-25,506,1.73,5589,0.372508
2016-06-25,506,2.03,5768,0.385396
2016-06-25,506,2.34,5723,0.382156
2016-06-25,506,2.64,5677,0.378844
2016-06-25,507,0.21,5078,0.22834400000000002
2016-06-25,507,0.51,5538,0.250424
2016-06-25,507,0.82,4821,0.216008
2016-06-25,507,1.12,4783,0.21420000000000003
2016-06-25,508,0.21,5322,0.240056
2016-06-25,508,0.51,6835,0.31268
2016-06-25,508,0.82,6483,0.295784
2016-06-25,508,1.12,7208,0.3306
2016-06-25,MN-1,0.19,4258,0.18898399999999999
2016-06-25,MN-1,0.5,5970,0.27116
2016-06-25,MN-1,0.8,4934,0.22143200000000002
2016-06-25,MN-1,1.11,5291,0.2386
2016-06-25,MN-1,1.41,5912,0.268376
2016-06-25,MS-4,0.2,4252,0.188696
2016-06-25,MS-4,0.5,4708,0.21058400000000002
2016-06-25,MS-4,0.81,5254,0.236792
2016-06-25,MS-4,1.11,5126,0.23066399999999998
2016-06-25,MS-4,1.42,6070,0.27596
2016-06-25,standard counts,0.0,7464,
2016-07-25,500,0.09,1422,0.072484
2016-07-25,500,0.4,4315,0.28078000000000003
2016-07-25,500,0.7,4765,0.31318
2016-07-25,500,1.01,4480,0.29270799999999997
2016-07-25,500,1.31,4604,0.301588
2016-07-25,500,1.62,4201,0.272572
2016-07-25,501,0.07,1308,0.064276
2016-07-25,501,0.37,4296,0.279412
2016-07-25,501,0.68,4687,0.307564
2016-07-25,501,0.98,4802,0.31586800000000004
2016-07-25,501,1.29,4554,0.29798800000000003
2016-07-25,501,1.59,4338,0.282436
2016-07-25,501,1.9,4096,0.26501199999999997
2016-07-25,501,2.2,3986,0.257092
2016-07-25,501,2.51,4051,0.261772
2016-07-25,501,2.81,4127,0.267244
2016-07-25,501,3.12,4244,0.27566799999999997
2016-07-25,501,3.42,4281,0.278332
2016-07-25,501,3.73,4690,0.30778
2016-07-25,501,4.03,5453,0.362716
2016-07-25,501,4.34,4964,0.32750799999999997
2016-07-25,501,4.64,5590,0.37258
2016-07-25,501,4.95,5980,0.40066
2016-07-25,501,5.25,5770,0.38554
2016-07-25,501,5.56,5726,0.382372
2016-07-25,501,5.86,5870,0.39274000000000003
2016-07-25,501,6.17,6113,0.410236
2016-07-25,501,6.47,5669,0.378268
2016-07-25,501,6.78,5550,0.3697
2016-07-25,501,7.08,5316,0.352852
2016-07-25,501,7.38,4261,0.276892
