day,Hole ID,Depth Below Surface [m],Neutron Count (MD)
2016-08-26,507,1.4859000000000002,4649
2016-08-26,508,0.26670000000000005,4773
2016-08-26,508,0.5715000000000001,6702
2016-08-26,508,0.8763000000000001,6552
2016-08-26,508,1.1811,7043
2016-08-26,508,1.4859000000000002,7231
2016-08-26,MN-1,0.26670000000000005,3034
2016-08-26,MN-1,0.5715000000000001,5374
2016-08-26,MN-1,0.8763000000000001,4841
2016-08-26,MN-1,1.1811,5007
2016-08-26,MN-1,1.4859000000000002,5419
2016-08-26,MN-1,1.7907,6329
2016-08-26,MN-1,2.0955000000000004,7171
2016-08-26,MS-4,0.26670000000000005,3141
2016-08-26,MS-4,0.5715000000000001,3863
2016-08-26,MS-4,0.8763000000000001,4726
2016-08-26,MS-4,1.1811,4741
2016-08-26,MS-4,1.4859000000000002,5206
2016-08-26,MS-4,1.7907,5924
2016-09-17,500,0.26670000000000005,1286
2016-09-17,500,0.5715000000000001,4253
2016-09-17,500,0.8763000000000001,4752
2016-09-17,500,1.1811,4498
2016-09-17,500,1.4859000000000002,4630
2016-09-17,500,1.7907,4085
2016-09-17,500,2.0955000000000004,4462
2016-09-17,500,2.4003000000000005,4851
2016-09-17,501,0.26670000000000005,1197
2016-09-17,501,0.5715000000000001,4201
2016-09-17,501,0.8763000000000001,4656
2016-09-17,501,1.1811,4858
2016-09-17,501,1.4859000000000002,4610
2016-09-17,501,1.7907,4476
2016-09-17,501,2.0955000000000004,4149
2016-09-17,501,2.4003000000000005,3942
2016-09-17,501,2.7051,4079
2016-09-17,501,3.0099,4175
2016-09-17,501,3.3147,4199
2016-09-17,501,3.6195000000000004,4445
2016-09-17,501,3.9242999999999997,4585
2016-09-17,501,4.2291,5411
2016-09-17,501,4.5339,4847
2016-09-17,501,4.8387,5548
2016-09-17,501,5.1435,5834
2016-09-17,501,5.4483,5770
2016-09-17,501,5.7531,5637
2016-09-17,501,6.0579,5866
2016-09-17,501,6.3627,6276
2016-09-17,501,6.6675,5646
2016-09-17,501,6.972300000000001,5390
2016-09-17,501,7.2771,5387
2016-09-17,501,7.5819,4256
2016-09-17,501,7.886699999999999,4486
2016-09-17,501,8.1915,4244
2016-09-17,501,8.4963,4027
2016-09-17,501,8.8011,4042
2016-09-17,501,9.1059,4728
2016-09-17,501,9.4107,6115
2016-09-17,502,0.26670000000000005,2139
2016-09-17,502,0.5715000000000001,4817
2016-09-17,502,0.8763000000000001,5076
2016-09-17,502,1.1811,5921
2016-09-17,502,1.4859000000000002,5449
2016-09-17,502,1.7907,5548
2016-09-17,502,2.0955000000000004,5719
2016-09-17,503,0.26670000000000005,2605
2016-09-17,503,0.5715000000000001,3628
2016-09-17,503,0.8763000000000001,3742
2016-09-17,503,1.1811,3775
2016-09-17,503,1.4859000000000002,3856
2016-09-17,503,1.7907,3776
2016-09-17,503,2.0955000000000004,3997
2016-09-17,503,2.4003000000000005,3684
2016-09-17,503,2.7051,3724
2016-09-17,503,3.0099,3978
2016-09-17,503,3.3147,3826
2016-09-17,503,3.6195000000000004,3857
2016-09-17,503,3.9242999999999997,3817
2016-09-17,503,4.2291,3804
2016-09-17,503,4.5339,3932
2016-09-17,503,4.8387,4093
2016-09-17,503,5.1435,3941
2016-09-17,503,5.4483,4044
2016-09-17,503,5.7531,4036
2016-09-17,503,6.0579,4030
2016-09-17,503,6.3627,4199
2016-09-17,503,6.6675,4108
2016-09-17,503,6.972300000000001,4205
2016-09-17,503,7.2771,4175
2016-09-17,503,7.5819,4018
2016-09-17,505,0.26670000000000005,2996
2016-09-17,505,0.5715000000000001,4171
2016-09-17,505,0.8763000000000001,3852
2016-09-17,505,1.1811,4332
2016-09-17,505,1.4859000000000002,4265
2016-09-17,505,1.7907,4383
2016-09-17,505,2.0955000000000004,4426
2016-09-17,505,2.4003000000000005,4510
2016-09-17,505,2.7051,4163
2016-09-17,505,3.0099,4101
2016-09-17,505,3.3147,4507
2016-09-17,505,3.6195000000000004,4454
2016-09-17,505,3.9242999999999997,4613
2016-09-17,505,4.2291,4993
2016-09-17,505,4.5339,4943
2016-09-17,505,4.8387,5275
2016-09-17,505,5.1435,5086
2016-09-17,505,5.4483,5266
2016-09-17,505,5.7531,5129
2016-09-17,505,6.0579,5186
2016-09-17,506,0.26670000000000005,3301
2016-09-17,506,0.5715000000000001,4568
